,customer_id,product_id,willbuy,retail_price
0,1600785,1443029,0,12.88
1,1600785,1164138,0,14.11
2,1600785,1636511,0,10.77
3,1600785,1832547,1,13.6
4,1600785,1237420,1,9.37
5,1600852,1597824,0,7.81
6,1600852,1755017,1,11.17
7,1600852,1267131,1,13.32
8,1600852,1516839,1,13.79
9,1600852,1833307,0,7.99
10,1600959,1486209,1,15.47
11,1600959,1028567,0,13.42
12,1600959,1889979,1,13.36
13,1600959,1634459,1,10.77
14,1600959,1596114,0,17.0
15,1600969,1820289,1,15.55
16,1600969,1465869,1,10.13
17,1600969,1140363,1,18.02
18,1600969,1745803,0,11.05
19,1600969,1859893,1,10.49
20,1601034,1094131,0,10.05
21,1601034,1602884,0,14.88
22,1601034,1112685,0,16.99
23,1601034,1605396,0,9.14
24,1601034,1387146,0,15.11
25,1601055,1626869,0,10.37
26,1601055,1025311,1,7.37
27,1601055,1324552,0,18.77
28,1601055,1986746,1,15.49
29,1601055,1624722,1,19.06
30,1601061,1318666,0,14.92
31,1601061,1704151,1,7.58
32,1601061,1272597,0,13.08
33,1601061,1259361,1,6.75
34,1601061,1344854,1,6.46
35,1601163,1536577,0,11.63
36,1601163,1494449,0,10.04
37,1601163,1762495,0,15.57
38,1601163,1762408,0,8.92
39,1601163,1140363,0,18.02
40,1601205,1576792,1,12.74
41,1601205,1500256,0,12.04
42,1601205,1775872,0,11.9
43,1601205,1630277,0,12.2
44,1601205,1633379,0,12.25
45,1601218,1387497,0,16.48
46,1601218,1512314,0,17.12
47,1601218,1774643,0,16.58
48,1601218,1032956,0,9.2
49,1601218,1459308,0,10.34
50,1601229,1980684,0,8.52
51,1601229,1281560,0,11.63
52,1601229,1921927,0,15.05
53,1601229,1851357,0,11.22
54,1601229,1019466,0,14.29
55,1601237,1420386,0,15.64
56,1601237,1621927,0,18.7
57,1601237,1014695,0,10.49
58,1601237,1725885,0,8.17
59,1601237,1354207,0,12.17
60,1601264,1443029,0,12.88
61,1601264,1138798,0,15.36
62,1601264,1119298,0,8.4
63,1601264,1391981,0,14.89
64,1601264,1614074,0,17.2
65,1601341,1867565,0,11.37
66,1601341,1284893,0,14.84
67,1601341,1730614,0,10.24
68,1601341,1905180,0,16.62
69,1601341,1124997,0,8.44
70,1601680,1281986,0,12.1
71,1601680,1605396,1,9.14
72,1601680,1206792,1,7.71
73,1601680,1180758,0,9.84
74,1601680,1520469,0,13.67
75,1601688,1286438,1,13.1
76,1601688,1695217,0,12.37
77,1601688,1276596,1,16.02
78,1601688,1498438,0,10.17
79,1601688,1266560,0,11.77
80,1601776,1739317,0,14.94
81,1601776,1842528,0,12.94
82,1601776,1660999,0,15.23
83,1601776,1489224,0,8.93
84,1601776,1436977,0,17.33
85,1601846,1564253,0,9.58
86,1601846,1259361,1,6.75
87,1601846,1962166,1,12.0
88,1601846,1309918,0,9.79
89,1601846,1288609,0,10.9
90,1601896,1008476,0,8.55
91,1601896,1378858,1,14.7
92,1601896,1530213,1,13.03
93,1601896,1903306,1,10.35
94,1601896,1049883,0,9.8
95,1602001,1486973,0,14.13
96,1602001,1170020,0,15.19
97,1602001,1897376,0,10.92
98,1602001,1762408,0,8.92
99,1602001,1344240,0,10.56
100,1602004,1345153,0,18.57
101,1602004,1836974,0,11.39
102,1602004,1219756,0,10.47
103,1602004,1685383,0,11.04
104,1602004,1678038,0,17.69
105,1602144,1879545,0,18.32
106,1602144,1683133,1,15.07
107,1602144,1167495,0,9.67
108,1602144,1836974,1,11.39
109,1602144,1173724,0,8.86
110,1602211,1826893,1,10.67
111,1602211,1051590,0,8.15
112,1602211,1119298,0,8.4
113,1602211,1009975,0,8.18
114,1602211,1614915,0,14.72
115,1602218,1076171,0,10.28
116,1602218,1820289,0,15.55
117,1602218,1107600,1,17.81
118,1602218,1501073,0,9.0
119,1602218,1898639,0,9.0
120,1602264,1791225,0,9.15
121,1602264,1901468,0,13.25
122,1602264,1469634,0,12.45
123,1602264,1345153,0,18.57
124,1602264,1844960,0,12.47
125,1602301,1469422,1,13.42
126,1602301,1437855,1,10.42
127,1602301,1584125,1,17.21
128,1602301,1440720,0,6.95
129,1602301,1923878,0,11.68
130,1602327,1544227,0,9.87
131,1602327,1865874,0,13.37
132,1602327,1281986,0,12.1
133,1602327,1786147,0,7.04
134,1602327,1762408,1,8.92
135,1602368,1420386,0,15.64
136,1602368,1105699,0,10.96
137,1602368,1610242,0,15.36
138,1602368,1801705,0,11.26
139,1602368,1330366,0,11.38
140,1602383,1502474,0,10.92
141,1602383,1445325,0,12.31
142,1602383,1219553,0,16.67
143,1602383,1657954,1,9.77
144,1602383,1331091,1,15.82
145,1602396,1040387,0,9.14
146,1602396,1489020,1,14.76
147,1602396,1324552,0,18.77
148,1602396,1617958,1,8.77
149,1602396,1172233,1,15.73
150,1602681,1134525,0,17.47
151,1602681,1072045,0,10.3
152,1602681,1027512,0,12.23
153,1602681,1297684,0,9.7
154,1602681,1573556,0,17.04
155,1602722,1551153,0,10.64
156,1602722,1483575,0,13.59
157,1602722,1029311,1,10.09
158,1602722,1317693,0,14.33
159,1602722,1948472,0,11.96
160,1602730,1726255,0,7.79
161,1602730,1696068,0,10.78
162,1602730,1297659,0,15.17
163,1602730,1811121,1,12.92
164,1602730,1387497,0,16.48
165,1602822,1356517,1,8.36
166,1602822,1746711,0,9.21
167,1602822,1704096,0,8.61
168,1602822,1627170,1,12.69
169,1602822,1286438,1,13.1
170,1602844,1587300,1,12.31
171,1602844,1107262,1,10.53
172,1602844,1950690,1,10.79
173,1602844,1284464,1,13.49
174,1602844,1155278,1,14.22
175,1602899,1337424,0,12.21
176,1602899,1208256,0,7.16
177,1602899,1060410,0,14.13
178,1602899,1311247,0,13.69
179,1602899,1321465,0,16.17
180,1602924,1906466,0,11.36
181,1602924,1959920,0,10.39
182,1602924,1513832,0,11.88
183,1602924,1298229,0,14.52
184,1602924,1290453,0,11.6
185,1602959,1016107,0,16.05
186,1602959,1962166,0,12.0
187,1602959,1291859,0,15.44
188,1602959,1952052,0,12.72
189,1602959,1040065,0,13.38
190,1602977,1087656,0,9.01
191,1602977,1322176,0,11.88
192,1602977,1707084,0,7.81
193,1602977,1726401,0,12.44
194,1602977,1151645,0,10.04
195,1603053,1636762,0,7.22
196,1603053,1920067,0,17.33
197,1603053,1535805,0,12.9
198,1603053,1994245,0,12.85
199,1603053,1289393,0,12.49
200,1603077,1316331,0,16.59
201,1603077,1180758,0,9.84
202,1603077,1907826,0,8.3
203,1603077,1445325,0,12.31
204,1603077,1076171,0,10.28
205,1603144,1638897,0,9.65
206,1603144,1838782,0,14.95
207,1603144,1088195,0,13.66
208,1603144,1297600,0,14.11
209,1603144,1652328,0,18.06
210,1603239,1681385,0,12.88
211,1603239,1110937,0,16.6
212,1603239,1774964,0,12.56
213,1603239,1876591,1,14.66
214,1603239,1272493,0,7.9
215,1603392,1534102,0,9.53
216,1603392,1281986,0,12.1
217,1603392,1553954,0,11.67
218,1603392,1490046,0,17.74
219,1603392,1719665,0,14.72
220,1603478,1436977,0,17.33
221,1603478,1172764,0,11.22
222,1603478,1636950,0,13.46
223,1603478,1155278,0,14.22
224,1603478,1962267,0,10.77
225,1603523,1272493,0,7.9
226,1603523,1161872,0,9.52
227,1603523,1723434,0,16.29
228,1603523,1440587,0,17.82
229,1603523,1868094,0,9.27
230,1603649,1792432,0,14.22
231,1603649,1724887,1,9.67
232,1603649,1518261,0,9.62
233,1603649,1343900,0,7.3
234,1603649,1063069,1,15.47
235,1603704,1718853,0,17.17
236,1603704,1040387,0,9.14
237,1603704,1633354,0,9.73
238,1603704,1014973,0,15.57
239,1603704,1365080,0,8.83
240,1603844,1334883,0,18.5
241,1603844,1443895,0,11.85
242,1603844,1872659,0,9.33
243,1603844,1212537,0,13.06
244,1603844,1478670,0,9.62
245,1603945,1730614,0,10.24
246,1603945,1633325,0,16.45
247,1603945,1615648,0,15.12
248,1603945,1967864,0,9.15
249,1603945,1444152,0,10.26
250,1604029,1873434,0,14.19
251,1604029,1959920,0,10.39
252,1604029,1300125,0,9.25
253,1604029,1513832,0,11.88
254,1604029,1164138,0,14.11
255,1604098,1494449,0,10.04
256,1604098,1955027,0,12.61
257,1604098,1490339,0,15.36
258,1604098,1537483,0,8.56
259,1604098,1907826,0,8.3
260,1604130,1893456,0,6.71
261,1604130,1637008,0,7.87
262,1604130,1644083,0,18.12
263,1604130,1624722,0,19.06
264,1604130,1423002,0,18.41
265,1604267,1368751,0,9.35
266,1604267,1895090,1,8.53
267,1604267,1861964,0,11.2
268,1604267,1536577,0,11.63
269,1604267,1387146,0,15.11
270,1604269,1385264,0,10.74
271,1604269,1161872,0,9.52
272,1604269,1926686,0,13.44
273,1604269,1286438,0,13.1
274,1604269,1023104,0,16.51
275,1604322,1128673,1,12.87
276,1604322,1115971,1,12.45
277,1604322,1004302,0,10.51
278,1604322,1634182,1,12.87
279,1604322,1354810,1,12.87
280,1604353,1801787,0,8.77
281,1604353,1057821,0,7.31
282,1604353,1823608,0,9.82
283,1604353,1823899,0,7.28
284,1604353,1663932,0,10.14
285,1604430,1324552,0,18.77
286,1604430,1122133,0,9.54
287,1604430,1286438,0,13.1
288,1604430,1222277,0,15.1
289,1604430,1801787,0,8.77
290,1604441,1138361,0,6.43
291,1604441,1697122,0,11.76
292,1604441,1803521,0,12.01
293,1604441,1040387,0,9.14
294,1604441,1690805,0,10.51
295,1604485,1243107,0,13.11
296,1604485,1216947,0,6.91
297,1604485,1014695,0,10.49
298,1604485,1486209,0,15.47
299,1604485,1879545,0,18.32
300,1604522,1459546,0,13.41
301,1604522,1889642,0,8.74
302,1604522,1788351,0,9.47
303,1604522,1628331,0,15.62
304,1604522,1232692,0,8.25
305,1604609,1842528,0,12.94
306,1604609,1714497,0,12.89
307,1604609,1219756,1,10.47
308,1604609,1032956,0,9.2
309,1604609,1660476,1,15.28
310,1604706,1161872,1,9.52
311,1604706,1727723,1,15.44
312,1604706,1225813,0,14.87
313,1604706,1886220,0,10.12
